Lightning Ridge,LHG,N,Lightning Ridge Airport,unpaid
Lismore,LSY,N,Lismore City Council,unpaid,included
Lockhart / Iron Range,IRG,N,Lockhart River Aerodrome,unpaid
Longreach,LRE,N,Longreach Regional Council,unpaid
Lord Howe Island,LDH,N,Lord Howe Island Board,unpaid
Mabuiag Island ,UBB,N,Torres Strait Island Regional Council,unpaid
Mackay,MKY,T,Mackay Airport Pty Ltd,unpaid
Maningrida,MNG,N,Maningrida Council Inc West Arnhem Shire Council,unpaid
Maryborough,MBH,N,Maryborough City Council,unpaid
McArthur River,MCV,N,McArthur River Mining Pty Ltd/McArthur River Airport,unpaid
Meekatharra ,MKR,N,Meekatharra Shire Council,unpaid
Melbourne,MEL,T,Melbourne Airport (APAM),unpaid
Mildura,MQL,N,Mildura Airport,unpaid
Milingimbi,MGT,N,Milingimbi Community of the East Arnhem Shire Council,unpaid
Moorabbin (RPT),MBW,N,Moorabbin Airport Corporation Pty Ltd,unpaid,included
Moranbah,MOV,N,BMA Coal Operations Pty Ltd,unpaid
Moree,MRZ,N,Moree Plains Shire Council,unpaid
Mornington Island,ONG,N,Mornington Island Airport,unpaid
Moruya,MYA,N,Eurobodalla Shire Council,unpaid
Mount Gambier,MGB,N,District Council of Grant - Mount Gambier and District Airport,unpaid
Mount Hotham,MHU,N,MHSE Transportation Services P/L,unpaid
Mount Magnet,MMG,N,Shire of Mt Magnet,unpaid
Mt Isa / Queensland Airports Limited (QAL),ISA,T,Queensland Airports Limited (QAL),unpaid
Mudgee,DGE,N,Mid-Western Regional Council,unpaid
Murray/Mer Island,MYI,N,Torres Strait Island Regional Council,unpaid
Narrabri,NAA,N,Narrabri Shire Council,unpaid
Narrandera,NRA,N,Narrandera Shire Council,unpaid
Newcastle/Williamtown,NTL,T,Newcastle Airport Ltd,unpaid
Newman,ZNE,N,Shire of East Pilbara,unpaid,included
Norfolk Island,NLK,T,Norfolk Island Airport,unpaid
Normanton,NTN,N,Normanton Airport,unpaid
Numbulwar,NUB,N,Numbulwar Airport,unpaid
Olympic Dam,OLP,N,BHP Billiton,unpaid
Orange,OAG,N,Orange City Council,unpaid
Palm Island,PMK,N,Palm Island Aboriginal Shire Council,unpaid
Paraburdoo,PBO,N,Northwest travel Services Pty Ltd,unpaid
Parkes,PKE,N,Parkes Shire Council,unpaid
Perth,PER,T,Westralia Airports Corporation,unpaid
Pormpuraaw / Edward River,EDR,N,Edward River/Pormpuraaw Airport,unpaid
Port Augusta,PUG,N,Port Augusta City Council,unpaid,included
Port Hedland,PHE,T,Town of Port Hedland,unpaid
Port Keats,PKT,N,Thamarrurr Regional Council,unpaid
Port Lincoln,PLO,N,DC of Lower Eyre Peninsula,unpaid,included
Port Macquarie,PQQ,N,Port Macquarie-Hastings Council,unpaid
Portland,PTJ,N,Glenelg Shire Council,unpaid
Poruma / Coconut Island,CNC,N,Torres Strait Island Regional Council,unpaid
Proserpine / Whitsunday Coast,PPP,T,Whitsunday Shire Council,unpaid
Queensland Alumina Limited,QAL,T,Queensland Alumina Limited,unpaid
Quilpie,ULP,N,Quilpie Airport,unpaid
Ramingining,RAM,N,Ramingining Community Council,unpaid
Ravensthorpe,RAVT,N,Ravensthorpe Airport,unpaid
Richmond,RCM,N,Richmond Shire Council,unpaid
Rockhampton,ROK,T,ROCKHAMPTON REGIONAL COUNCIL,unpaid
Roma,RMA,N,Roma Airport,unpaid,included
Saibai,SBR,N,Torres Strait Island Regional Council,unpaid
Shark Bay/Monkey Mia,MJK,N,Shark Bay Airport,unpaid
Snake Bay,SNB,N,Tiwi Islands Shire Council,unpaid
ST GEORGE AERODROME,SGO,N,Balonne Shire Council,unpaid
Strahan - no RPT services ,SRN,N,West Coast Council,unpaid
Sue/Warraber Island,SYU,N,Torres Strait Island Regional Council,unpaid
Sunshine Coast,MCY,T,Sunshine Coast Airport,unpaid
Sydney,SYD,T,Sydney Airport Corporation Limited,unpaid
Taroom,YTAM,N,Taroom Airport,unpaid,included
Tamworth,TMW,N,Tamworth Regional Council,unpaid
Taree - Aviation ID Australia,TRO,N,Greater Taree City Council,unpaid
Tennant Creek,TCA,N,Tennant Creek Airport,unpaid
Test Airport,TST,N,Test Airport,unpaid
Thangool,THG,N,Banana Shire Council,unpaid,included
Thargomindah,XTG,N,Thargomindah Airport,unpaid
Toowoomba (Non-Op),TWB,N,Toowoomba City Council,unpaid,included
Townsville / Queensland Airports Limited (QAL),TSV,T,Queensland Airports Limited (QAL),unpaid
Wagga Wagga,YSWG,N,Wagga Wagga City Council,unpaid,included
Walgett,WGE,N,Walgett Shire Council,unpaid
Warrnambool,WMB,N,Warrnambool City Council,unpaid
Weipa,WEI,N,General Aviation Maintence Pty Ltd,unpaid
West Wyalong,WWY,N,Bland Shire Council,unpaid
Whyalla,WAY,N,Corporation of the City of Whyalla,unpaid
Wiluna,WUN,N,Shire of Wiluna,unpaid
Windorah,WNR,N,Windorah Airport,unpaid
Winton,WIN,N,Winton Shire Council,unpaid
Yam Island,XMY,N,Torres Strait Island Regional Council,unpaid
Yorke Island,OKR,N,Torres Strait Island Regional Council,unpaid
